authors,Run,BioSample,BioProject,sequence_public,collection_year,geo_loc_name_country,lat_lon,latitude,longitude,env_broad_scale,env_local_scale,env_medium,host_common_name,host_latin_name,animal_gut,dna_extraction_method,dna_extraction_amount,library_selection,platform,sequencing_platform,instrument,library_layout,datastore_filetype,sample_name,doi_publication
Agnello,SRR21930249,SAMN31313268,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after chemical oxidation with sodium persulfate composting and phytoremediation phases,NA,NA,No,E.Z.N.A. Soil DNA kit,,PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,Ox.Co_Phy+_ITS,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930250,SAMN31313267,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after chemical oxidation with sodium persulfate composting and phytoremediation phases,NA,NA,No,E.Z.N.A. Soil DNA kit,,PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,OS-1_ITS,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930251,SAMN31313266,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after chemical oxidation with sodium persulfate composting and phytoremediation phases,NA,NA,No,E.Z.N.A. Soil DNA kit,DNA pooled from three independent extractions of 1 g of sample (16S),PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,Ox.Co_Phy+_16S,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930252,SAMN31313265,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after chemical oxidation with sodium persulfate composting and phytoremediation phases non-planted control,NA,NA,No,E.Z.N.A. Soil DNA kit,DNA pooled from three independent extractions of 1 g of sample (16S),PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,Ox.Co_Phy-_16S,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930253,SAMN31313264,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after composting and phytoremediation phases,NA,NA,No,E.Z.N.A. Soil DNA kit,DNA pooled from three independent extractions of 1 g of sample (16S),PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,Co_Phy+_16S,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930254,SAMN31313263  ,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after composting and phytoremediation phases non-planted control,NA,NA,No,E.Z.N.A. Soil DNA kit,DNA pooled from three independent extractions of 1 g of sample (16S),PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,Co_Phy-_16S,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930255,SAMN31313262,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after chemical oxidation with sodium persulfate and composting phase,NA,NA,No,E.Z.N.A. Soil DNA kit,DNA pooled from three independent extractions of 1 g of sample (16S),PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,Ox.Co_16S,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930256,SAMN31313261,PRJNA891224,yes,2019,Argentina,"-34.9069,-57.94084",-34.9069,-57.94084,Mineral,Crude oil,contaminated oil sludge after composting phase,NA,NA,No,E.Z.N.A. Soil DNA kit,DNA pooled from three independent extractions of 1 g of sample (16S),PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,Co_16S,No publication associated to this sequence by the release date of the Datathon's report
Agnello,SRR21930257,SAMN31313260,PRJNA891224,yes,2015,Argentina,"-34.88407,-57.91402",-34.88407,-57.91402,Mineral,Crude oil,contaminated oil sludge,NA,NA,No,E.Z.N.A. Soil DNA kit,DNA pooled from three independent extractions of 1 g of sample (16S),PCR,Illumina,Other,Illumina NovaSeq 6000,Paired,Fastq,OS-1_16S,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875667,SAMN31253267,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P4SE20,No publication associated to this sequence by the release date of the Datathon's report
