region,City.Region,Latitude,Longitude,income
Argentina,Mendoza Province,-32.8,-68.867,Upper-middle income
Argentina,Mendoza Province,-32.8,-68.867,Upper-middle income
Argentina,Mendoza Province,-32.8,-68.867,Upper-middle income
Argentina,,-54.811,-68.296,Upper-middle income
Argentina,,-54.811,-68.296,Upper-middle income
Argentina,,-54.811,-68.296,Upper-middle income
Argentina,,-54.804,-68.288,Upper-middle income
Argentina,,-54.804,-68.288,Upper-middle income
Argentina,,-54.804,-68.288,Upper-middle income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
Australia,,-37.53966,145.139673,High income
