Country	Authorships	Percentage	RD.investments	WB.Classification
ARGENTINA	61	0.012168362	0.53913	3
ARMENIA	1	0.000199481	0.213325714	3
AUSTRALIA	311	0.062038699	1.876466667	4
AUSTRIA	28	0.005585478	3.105645	4
BANGLADESH	2	0.000398963	NA	2
BELARUS	1	0.000199481	0.539314286	3
BELGIUM	69	0.013764213	2.84837	4
BENIN	2	0.000398963	NA	2
BERMUDA	1	0.000199481	0.2283875	4
BHUTAN	1	0.000199481	NA	2
BOLIVIA	2	0.000398963	NA	2
BRAZIL	95	0.018950728	1.220082	3
BRUNEI	1	0.000199481	0.27763	4
BULGARIA	2	0.000398963	0.815712	3
BURKINA FASO	2	0.000398963	0.3211725	1
CAMEROON	1	0.000199481	NA	2
CANADA	329	0.065629364	1.678527	4
CAPE VERDE	1	0.000199481	NA	2
CHILE	25	0.004987034	0.364374	4
COLOMBIA	14	0.002792739	0.303448333	3
COSTA RICA	10	0.001994813	0.4193275	3
COTE IVOIRE	2	0.000398963	0.0704	2
CROATIA	6	0.001196888	0.966478333	4
CZECH REPUBLIC	62	0.012367844	1.86131	4
DENMARK	76	0.015160582	2.985108333	4
ECUADOR	7	0.001396369	NA	3
EGYPT	4	0.000797925	0.79825	2
ESTONIA	30	0.00598444	1.463363333	4
ETHIOPIA	1	0.000199481	0.27437	1
FIJI	1	0.000199481	NA	3
FINLAND	89	0.01775384	2.798946667	4
FRANCE	220	0.043885897	2.23065	4
FRENCH GUIANA	1	0.000199481		NA
GABON	2	0.000398963		3
GEORGIA	3	0.000598444	0.281872857	3
GERMANY	325	0.064831438	3.051413333	4
GHANA	1	0.000199481	NA	2
GREECE	15	0.00299222	1.184611667	4
HUNGARY	22	0.00438859	1.401841667	4
ICELAND	9	0.001795332	2.196071667	4
INDIA	13	0.002593258	0.671065	2
INDONESIA	8	0.001595851	0.252356	2
IRAN	2	0.000398963	0.647316667	2
IRAQ	1	0.000199481	0.039967143	3
IRELAND	26	0.005186515	1.205661667	4
ISRAEL	32	0.006383403	4.749126667	4
ITALY	77	0.015360064	1.414745	4
JAMAICA	1	0.000199481	NA	3
JAPAN	47	0.009375623	3.20406	4
KENYA	13	0.002593258	NA	2
LATVIA	2	0.000398963	0.588035	4
LEBANON	1	0.000199481	NA	2
MADAGASCAR	2	0.000398963	0.012695	1
MALAWI	1	0.000199481	NA	1
MALAYSIA	10	0.001994813	1.17144	3
MALI	1	0.000199481	0.2349175	1
MALTA	3	0.000598444	0.606155	4
MEXICO	36	0.007181329	0.338826667	3
MONGOLIA	1	0.000199481	0.133561667	2
MOROCCO	1	0.000199481	NA	2
NAMIBIA	2	0.000398963	NA	3
NEPAL	1	0.000199481	NA	2
NETHERLANDS	150	0.029922202	2.183848333	4
NEW CALEDONIA	3	0.000598444	NA	4
NEW ZEALAND	93	0.018551765	1.327	4
NIGERIA	1	0.000199481	NA	2
Ireland	12	0.002393776	1.205661667	4
NORTH MACEDONIA	1	0.000199481	0.387955714	3
NORWAY	51	0.010173549	2.093491667	4
PANAMA	29	0.005784959	0.149372857	4
PEOPLES R CHINA	319	0.06363455	2.17754	3
PERU	7	0.001396369	0.135611667	3
PHILIPPINES	1	0.000199481	0.239525	2
POLAND	28	0.005585478	1.154205	4
PORTUGAL	36	0.007181329	1.36707	4
REP CONGO	1	0.000199481	NA	2
ROMANIA	3	0.000598444	0.48706	4
RUSSIA	22	0.00438859	1.07199	3
RWANDA	1	0.000199481	0.7039	1
SAO TOME PRIN	1	0.000199481	NA	2
SAUDI ARABIA	15	0.00299222	0.49207	4
SERBIA	2	0.000398963	0.889535714	3
SEYCHELLES	1	0.000199481	0.2123	4
SINGAPORE	6	0.001196888	1.968486	4
SLOVAKIA	7	0.001396369	0.897726667	4
SLOVENIA	6	0.001196888	2.033078333	4
SOUTH AFRICA	55	0.010971474	0.709198	3
SOUTH KOREA	9	0.001795332	4.366061667	4
SPAIN	160	0.031917016	1.253928333	4
SRI LANKA	3	0.000598444	0.11523	2
SUDAN	1	0.000199481	NA	1
SURINAME	1	0.000199481	NA	3
SWEDEN	141	0.02812687	3.337903333	4
SWITZERLAND	117	0.023339318	3.115053333	4
TAIWAN	6	0.001196888		4
TANZANIA	2	0.000398963	NA	2
THAILAND	3	0.000598444	0.997163333	3
TRINIDAD TOBAGO	2	0.000398963	0.0766	4
TURKEY	1	0.000199481	0.991226667	3
U ARAB EMIRATES	5	0.000997407	1.225933333	4
UKRAINE	1	0.000199481	0.449911429	2
URUGUAY	3	0.000598444	0.432108333	4
USA	1089	0.217235189	3.025828333	4
VENEZUELA	1	0.000199481	NA	NA
VIETNAM	1	0.000199481	0.397253333	2
ZAMBIA	2	0.000398963	NA	1
ZIMBABWE	2	0.000398963	NA	2
United Kingdom	496	0.098942749	1.682398	4
